timestamp,user_id,post_id,interaction_type,content
2023-02-01T08:15:30,user10,post6,like,
2023-02-01T08:30:45,user11,post6,share,
2023-02-01T09:20:15,user12,post6,comment,"I can't believe this is happening!"
2023-02-01T10:45:33,user13,post7,like,
2023-02-01T11:05:18,user14,post7,comment,"This seems reliable based on the source"
2023-02-01T12:30:00,user15,post8,share,
2023-02-02T09:15:30,user16,post8,like,
2023-02-02T10:20:45,user17,post9,comment,"This contradicts what experts are saying"
2023-02-02T11:30:15,user18,post9,like,
2023-02-02T13:45:33,user19,post10,share, 